TotalEnvSteps,seed_0_reward,seed_0_cost,seed_1_reward,seed_1_cost,seed_2_reward,seed_2_cost,seed_3_reward,seed_3_cost,seed_4_reward,seed_4_cost,reward_mean,reward_std,cost_mean,cost_std
20000.0,-0.573676347732544,62.4375,-1.8136558532714844,56.5625,-1.0085129737854004,63.9375,0.453442245721817,49.875,-0.2692075669765472,51.125,-0.6423220992088318,0.7550820767320084,56.7875,5.708628337875921
40000.0,0.1349161565303802,49.0,-1.5317351818084717,34.5,-0.4113523364067077,86.84375,0.5493538975715637,72.21875,-0.0454104393720626,50.875,-0.26084558069705965,0.7067213749541074,58.6875,18.52450868106898
60000.0,0.916899025440216,68.77083587646484,-0.9950211644172668,29.27083396911621,-0.1701539754867553,75.52083587646484,0.9671485424041748,61.0625,0.2564964294433594,60.0625,0.1950737714767456,0.7308380334474066,58.93750114440918,15.859343281731462
80000.0,1.3913233280181885,77.15625,-0.4567155838012695,36.015625,0.4255112409591675,77.234375,1.2921934127807615,78.921875,0.6086233258247375,64.25,0.6521871447563171,0.6691599739377905,66.715625,16.23091246761099
100000.0,2.046881914138794,82.25,-0.1295226365327835,41.4375,1.0110746622085571,87.0625,1.573476791381836,86.26249694824219,0.8919168710708618,66.86250305175781,1.078765520453453,0.7323173265306661,72.775,17.278989447255388
120000.0,2.8172128200531006,81.09375,0.3623494207859039,43.72916793823242,1.3560374975204468,90.16666412353516,2.071239709854126,88.5,1.4223318099975586,62.96875,1.6058342516422273,0.8156428588012913,73.29166641235352,17.648996491942505
140000.0,3.9950976371765137,79.58000183105469,1.1491011381149292,47.56999969482422,2.1006102561950684,90.66000366210938,2.958263874053955,90.05999755859375,2.029740333557129,67.41000366210938,2.446562647819519,0.9629775725628649,75.05600128173828,16.14319013310534
160000.0,5.363177299499512,84.86000061035156,1.8123708963394165,52.5099983215332,2.720969915390014,83.87999725341797,3.7915332317352295,89.30999755859375,2.676785945892334,68.94000244140625,3.2729674577713013,1.2191278556043412,75.89999923706054,13.559673640304599
180000.0,6.392727851867676,85.55999755859375,2.262070417404175,58.90999984741211,3.5073156356811523,79.18000030517578,4.4650397300720215,98.11000061035156,3.442649602890014,66.75,4.013960647583008,1.3794354357713667,77.70199966430664,13.809450917251834
200000.0,7.173702239990234,80.43000030517578,2.623142719268799,65.94000244140625,3.960373878479004,82.98999786376953,5.134100437164307,82.61000061035156,4.247616767883301,65.05999755859375,4.6277872085571286,1.5064266379948164,75.40599975585937,8.140025844613756
220000.0,8.273821830749512,78.0199966430664,3.1296558380126958,69.76000213623047,4.780343055725098,76.75,5.973423957824707,82.73999786376953,5.044088840484619,62.13999938964844,5.440266704559326,1.6878785506513798,73.88199920654297,7.192746500398695
240000.0,9.180299758911133,73.87000274658203,3.510727643966675,72.4800033569336,5.259796142578125,60.369998931884766,7.0298752784729,70.77999877929688,5.662347316741943,65.93000030517578,6.128609228134155,1.8947630947165301,68.68600082397461,4.947819417065496
260000.0,9.786677360534668,68.80000305175781,3.976125240325928,63.369998931884766,6.04926872253418,57.0,7.73232889175415,69.29000091552734,6.430025100708008,66.7300033569336,6.794885063171387,1.9216709156789529,65.0380012512207,4.527399378676035
280000.0,10.378339767456056,66.55000305175781,4.609050750732422,71.29000091552734,6.899051666259766,58.470001220703125,8.172999382019043,76.55000305175781,7.226275444030762,62.34999847412109,7.457143402099609,1.8720168877125822,67.04200134277343,6.390363623437164
300000.0,10.708182334899902,65.3499984741211,5.500311374664307,68.98999786376953,7.365468025207519,57.060001373291016,9.091540336608888,76.87999725341797,7.861626625061035,57.52999877929688,8.10542573928833,1.7401356369285912,65.1619987487793,7.428192176867899
320000.0,11.706098556518556,63.16999816894531,6.198307991027832,58.04999923706055,7.988998889923096,55.150001525878906,10.083537101745604,78.06999969482422,8.446549415588379,60.209999084472656,8.884698390960693,1.8766170973491962,62.92999954223633,8.012719620259519
340000.0,12.56572723388672,61.02000045776367,7.251802444458008,48.9900016784668,8.825571060180664,52.86000061035156,10.514439582824709,81.98999786376953,8.894767761230469,66.26000213623047,9.610461616516114,1.8023493003652942,62.22400054931641,11.586688878498313
360000.0,12.9581880569458,58.72999954223633,7.899683952331543,42.59999847412109,9.21358871459961,55.81999969482422,10.70324993133545,79.4800033569336,9.330877304077148,66.69999694824219,10.02111759185791,1.7158497996531346,60.66599960327149,12.19826273982806
380000.0,13.266921043395996,59.970001220703125,8.503686904907227,45.52999877929688,10.00857639312744,58.150001525878906,11.116829872131348,81.87999725341797,9.356534957885742,67.19000244140625,10.450509834289551,1.6467155313896091,62.544000244140626,11.92371635283419
400000.0,13.848928451538086,59.29999923706055,9.10409927368164,39.86000061035156,10.594700813293455,55.540000915527344,12.114897727966309,70.76000213623047,9.82686996459961,67.43000030517578,11.097899246215821,1.6997888120891662,58.57800064086914,10.833958721874529
420000.0,14.58871364593506,59.16999816894531,9.812106132507324,41.380001068115234,11.571002960205078,55.650001525878906,12.661508560180664,67.6500015258789,9.696703910827637,69.27999877929688,11.666007041931152,1.8361572016364156,58.626000213623044,10.015161242962405
440000.0,14.893716812133787,59.15999984741211,10.122591972351074,44.18000030517578,11.899550437927246,55.400001525878906,12.93310832977295,66.05999755859375,9.620165824890137,68.79000091552734,11.893826675415038,1.917617583746684,58.71800003051758,8.693768382685056
460000.0,15.022930145263672,55.75,10.85824966430664,45.150001525878906,12.30883502960205,51.04999923706055,13.504541397094728,68.12000274658203,9.566720962524414,68.16000366210938,12.2522554397583,1.9185102148834468,57.64600143432617,9.203271445221873
480000.0,15.306113243103027,58.66999816894531,11.299886703491213,46.66999816894531,12.749785423278809,52.40999984741211,14.11156940460205,66.54000091552734,9.6459379196167,72.12000274658203,12.62265853881836,2.002225608370043,59.28199996948242,9.210368226471216
500000.0,15.612235069274902,58.45000076293945,11.837453842163086,47.18999862670898,12.911215782165527,47.75,14.644079208374023,63.66999816894531,9.599737167358398,66.47000122070312,12.920944213867188,2.1173900420769796,56.705999755859374,7.970429688951224
520000.0,15.3737211227417,58.34000015258789,12.269556999206545,47.02999877929688,13.287298202514648,45.720001220703125,14.402017593383787,66.62000274658203,9.474562644958496,69.68000030517578,12.961431312561036,2.0316280841410066,57.47800064086914,9.804277992089407
540000.0,15.296172142028809,60.66999816894531,12.586164474487305,43.33000183105469,13.280808448791504,45.59999847412109,14.940103530883787,64.87999725341797,9.3805570602417,74.5199966430664,13.096761131286621,2.113767965269265,57.7999984741211,11.799512045699384
560000.0,15.32834815979004,57.369998931884766,12.915156364440918,40.97999954223633,13.666180610656738,43.11000061035156,15.23202133178711,62.369998931884766,9.592547416687012,71.1500015258789,13.346850776672364,2.091091831000996,54.99599990844727,11.477706624555971
580000.0,15.616122245788574,56.95000076293945,12.909523010253906,43.119998931884766,13.798500061035156,44.68000030517578,15.605907440185549,57.2400016784668,9.729736328125,63.31999969482422,13.531957817077636,2.1707310525583887,53.0620002746582,7.834540316053524
600000.0,15.655806541442873,58.15999984741211,13.206413269042969,39.47999954223633,13.92414093017578,42.630001068115234,15.588528633117676,55.11000061035156,9.927700996398926,62.25,13.660518074035645,2.0932287167623773,51.52600021362305,8.900608005917364
620000.0,15.78536605834961,59.33000183105469,13.19191551208496,37.880001068115234,14.548749923706056,42.810001373291016,15.783276557922363,59.5,9.543179512023926,64.29000091552734,13.770497512817382,2.3204148838794683,52.762001037597656,10.411054375381664
640000.0,16.19794273376465,57.36000061035156,13.472248077392578,35.08000183105469,14.59103298187256,41.220001220703125,16.208053588867188,55.4900016784668,9.63600730895996,62.09999847412109,14.021056938171387,2.4239022349888706,50.25000076293945,10.296619955170831
660000.0,16.11456298828125,57.290000915527344,13.648344993591309,36.36000061035156,14.87765407562256,41.61000061035156,16.327800750732422,52.560001373291016,10.140915870666504,52.31999969482422,14.221855735778808,2.255233973063213,48.02800064086914,7.772745778802677
680000.0,16.286958694458008,58.84000015258789,14.002344131469728,41.52000045776367,14.77587890625,40.310001373291016,15.909784317016602,53.11000061035156,10.54898166656494,55.4900016784668,14.304789543151855,2.0457025194014404,49.854000854492185,7.532034410346443
700000.0,16.161121368408203,62.08000183105469,14.424394607543944,40.52000045776367,15.219903945922852,40.75,15.756206512451172,52.52999877929688,10.330517768859863,56.16999816894531,14.378428840637207,2.1058034671393275,50.40999984741211,8.54387040412866
720000.0,15.986346244812012,62.58000183105469,14.710322380065918,41.84000015258789,15.734760284423828,41.220001220703125,16.07159423828125,55.08000183105469,11.162850379943848,54.220001220703125,14.733174705505371,1.8500117536391998,50.9880012512207,8.254265790338302
740000.0,15.996211051940918,59.810001373291016,14.84296417236328,45.77999877929688,15.813855171203612,41.27000045776367,16.135574340820312,48.83000183105469,11.608750343322754,51.29999923706055,14.879471015930175,1.696875015332841,49.39800033569336,6.18876894069767
760000.0,15.798744201660156,59.02000045776367,15.024938583374023,46.709999084472656,15.701865196228027,45.7599983215332,15.42609405517578,48.68000030517578,11.989228248596191,54.58000183105469,14.788174057006836,1.4250038960357414,50.95,5.066921046995486
780000.0,16.251754760742188,57.77000045776367,15.455280303955078,47.7400016784668,16.152076721191406,48.290000915527344,15.110631942749023,45.810001373291016,12.035070419311523,50.34000015258789,15.000962829589843,1.5430160801310642,49.99000091552735,4.149115208885128
800000.0,15.894841194152832,59.18999862670898,15.57481575012207,48.25,16.743003845214844,48.25,15.393726348876951,44.84000015258789,11.956548690795898,52.220001220703125,15.112587165832519,1.6445943739123112,50.55,4.911671377527801
